Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Bhutan,BTN,South Asia,Lower middle income,2001,61.808,,230.0,5.0041995,5.91572999954224,1.89999997615814,,62.37396261,23055.33,150694.53,107017.42
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,50.281,23.7,3870.0,6.15671635,,18.5400009155273,,,108921.89,1278992.69,318895.42
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,44.061,39.2,250.0,3.95594192,,5.69299983978271,,19.63079212,299925.65,3652351.14,745735.01
Canada,CAN,North America,High income,2001,79.33902439024392,2.5,506620.0,8.62482357,4.95303010940552,7.21999979019165,,77.5758104,818908.6,374249.31,6667095.01
Switzerland,CHE,Europe & Central Asia,High income,2001,80.18048780487806,2.5,45150.0,9.43919373,4.81137990951538,2.49000000953674,,99.61498273,248188.08,83610.68,1735154.25
Chile,CHL,Latin America & Caribbean,High income,2001,76.634,3.4,48430.0,7.15104103,,10.3900003433228,,51.18679267,528317.32,339395.38,2826830.34
China,CHN,East Asia & Pacific,Upper middle income,2001,71.732,10.0,3529080.0,4.25329876,,3.79999995231628,,13.49134882,47557278.81,50025776.4,275473735.9
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2001,49.495,20.4,6490.0,6.01772738,2.44477009773254,4.79500007629395,,,657533.5,12911513.67,2791907.35
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,51.222,22.9,5160.0,4.0975132,2.29733991622925,7.46000003814697,,,589962.64,9928803.53,2484149.63
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,73.241,8.7,58940.0,5.94238234,3.70867991447449,15.039999961853,,15.32835091,3298510.11,2290325.34,6106138.78
Comoros,COM,Sub-Saharan Africa,Lower middle income,2001,59.529,,110.0,6.65322924,,4.68900012969971,,,18971.88,221052.78,91790.02
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,77.601,4.7,5420.0,6.47410393,4.83202981948853,5.92000007629395,,38.62663605,111737.67,105977.38,589944.74
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,76.905,2.5,27470.0,6.98209763,8.3580904006958,4.07999992370605,,40.22396538,369329.5,273181.1,2375229.65
Cyprus,CYP,Europe & Central Asia,High income,2001,78.139,5.1,6990.0,5.33940458,5.11552000045776,3.98000001907349,,76.17387116,27840.44,11278.33,197749.38
Germany,DEU,Europe & Central Asia,High income,2001,78.32926829268293,2.5,847680.0,9.92046165,,7.76999998092651,,95.81332596,2057820.12,879257.0,23164672.77
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,57.1,42.0,380.0,2.8072207,7.80542993545532,28.2169990539551,,24.85958539,24412.57,304678.27,97074.22
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,,3.7,150.0,4.6450181,,,,,2397.25,3636.2,17708.87
Denmark,DNK,Europe & Central Asia,High income,2001,76.79268292682929,2.5,54250.0,8.44832611,8.21545028686523,4.15999984741211,,86.80214056,147748.82,69511.12,1523352.52
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,69.69,20.4,18980.0,4.88183308,1.96782994270325,7.26000022888184,,,331151.89,1080987.39,1343896.38
Algeria,DZA,Middle East & North Africa,Lower middle income,2001,71.116,8.0,78650.0,3.83787704,,27.2999992370605,,21.35186836,1608318.07,2111100.61,5443142.91
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,73.078,21.0,24250.0,3.75336552,,4.25,,39.98472033,577980.25,1127477.59,1869608.34
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,55.864,,700.0,5.91931629,4.04716014862061,5.76599979400635,,,233580.91,2012790.29,641729.0
Spain,ESP,Europe & Central Asia,High income,2001,79.36829268292684,2.5,294790.0,6.76895761,4.1112699508667,10.3500003814697,,93.8276238,1105890.85,554637.5,10087758.4
Estonia,EST,Europe & Central Asia,High income,2001,70.25853658536586,3.6,15380.0,4.77708292,5.22845983505249,13.1300001144409,,92.57380161,105615.51,30166.86,476440.3
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,52.595,47.0,4400.0,4.72316694,3.7002899646759,3.30399990081787,,2.377647105,3185985.43,46614051.59,10875042.5
Finland,FIN,Europe & Central Asia,High income,2001,77.96585365853659,2.5,61090.0,7.25090408,5.84025001525879,10.289999961853,,80.24642653,222105.62,66976.25,1324448.51
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,65.863,4.0,1040.0,2.90547323,5.6431097984314,3.90700006484985,,,27085.27,60694.54,197751.12
France,FRA,Europe & Central Asia,High income,2001,79.15853658536587,2.5,376730.0,9.70562744,,8.60999965667725,,79.23755841,2204469.1,837070.94,14213905.67
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,57.968,10.7,6230.0,3.15246463,,17.2259998321533,,,51611.35,445707.56,235345.91
United Kingdom,GBR,Europe & Central Asia,High income,2001,77.99268292682927,2.5,545260.0,7.56716347,4.10855007171631,4.69999980926514,,97.74638486,1259910.06,1112338.81,16399003.09
Georgia,GEO,Europe & Central Asia,Upper middle income,2001,70.065,7.7,3520.0,7.16950893,2.13750004768372,11.1599998474121,,47.28735939,146593.82,206455.21,1423122.16
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,57.158,14.9,6210.0,3.17252946,5.35444021224976,9.50100040435791,,4.427019443,598632.38,8404053.28,3184154.2
Guinea,GIN,Sub-Saharan Africa,Low income,2001,51.255,,1570.0,4.88881445,2.08190989494324,4.55299997329712,,,401723.0,5920467.81,1616142.3
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,50.744,,150.0,6.70832253,,6.2979998588562,,3.631962583,79755.03,878629.42,253405.84
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2001,53.581,,3400.0,2.20352745,,8.56700038909912,,,28479.78,374126.82,100976.4
Greece,GRC,Europe & Central Asia,High income,2001,78.38780487804878,2.5,96610.0,7.9878397,3.36457991600037,10.460000038147,,77.87126339,284568.09,125698.03,2884915.79
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,72.805,,230.0,5.62456989,,,,,3069.93,4995.1,21038.35
Greenland,GRL,Europe & Central Asia,High income,2001,66.70926829268294,,,,,,,85.9105649,5097.63,1853.36,14704.85
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2001,68.304,22.2,9810.0,6.07015848,,2.78399991989136,,,658385.59,2018747.83,1765489.94
Guam,GUM,East Asia & Pacific,High income,2001,75.373,,,,,13.210000038147,,,4449.45,5431.42,27554.91
Guyana,GUY,Latin America & Caribbean,Upper middle income,2001,65.532,6.5,1640.0,3.05506778,8.39729976654053,11.8149995803833,,,48943.83,105443.35,169977.36
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,70.976,21.9,5800.0,5.92998314,,4.0,,40.75284943,350162.39,617053.8,1031647.06
Croatia,HRV,Europe & Central Asia,High income,2001,74.51292682926831,6.8,19200.0,7.2349987,,15.8199996948242,,77.92698976,191136.56,72998.69,1337533.5
Haiti,HTI,Latin America & Caribbean,Lower middle income,2001,57.382,50.7,1600.0,3.73088169,,9.63300037384033,,,572400.72,2986337.32,1997697.96
Hungary,HUN,Europe & Central Asia,High income,2001,72.2487804878049,2.5,56280.0,6.82614756,4.9310097694397,5.67000007629395,,63.58014119,486731.33,152435.99,3521823.54
Indonesia,IDN,East Asia & Pacific,Lower middle income,2001,66.037,19.2,302060.0,2.1185019,2.46003007888794,6.07999992370605,,,6996569.3,30881627.35,41520804.67
India,IND,South Asia,Lower middle income,2001,62.907,18.4,953540.0,4.26278114,,5.57600021362305,,7.847825482,54362219.04,268564609.8,192785014.4
Ireland,IRL,Europe & Central Asia,High income,2001,77.13414634146342,2.5,44820.0,6.39664602,4.08749008178711,3.6800000667572,,55.44309298,105279.3,61994.06,897172.4
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,68.983,22.1,97550.0,,,8.80700016021729,,33.4111699,1610734.59,3266448.4,4631994.74
Iceland,ISL,Europe & Central Asia,High income,2001,80.69024390243904,2.5,2160.0,8.78546429,6.70592021942139,1.87000000476837,,43.87972331,6372.43,3218.11,55518.22
Israel,ISR,Middle East & North Africa,High income,2001,79.40731707317074,2.5,57950.0,7.20983076,6.3739800453186,11.8100004196167,,80.57320446,176917.39,93001.57,1193383.71
Italy,ITA,Europe & Central Asia,High income,2001,80.12682926829268,2.5,436570.0,7.73760843,4.65009021759033,9.60000038146973,,95.64344875,1447044.78,614698.09,15411336.84
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,74.139,7.4,10080.0,5.15652943,5.38103008270264,14.9300003051758,,,62811.49,153496.0,479581.12
Jordan,JOR,Middle East & North Africa,Upper middle income,2001,71.907,9.7,16250.0,9.58549213,,14.6999998092651,,75.52049492,138591.49,260138.98,723809.92
Japan,JPN,East Asia & Pacific,High income,2001,81.41707317073171,2.5,1170380.0,7.23947954,3.40082001686096,5.01999998092651,,73.4801356,3740899.3,1971391.2,27958110.06
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,65.76,6.5,117440.0,3.47096992,,10.4300003051758,,,1132464.17,999214.58,4461248.41
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,51.101,32.2,7610.0,4.80369139,5.20621013641357,2.98900008201599,,,796122.25,16737067.36,3793539.32
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,59.335,23.6,2150.0,7.01192331,1.72221994400024,1.03299999237061,,,575530.43,3831903.27,2432916.2
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,63.446,4.4,30.0,12.32934475,11.9881200790405,,,16.81369079,3943.14,19722.66,27856.04
Kuwait,KWT,Middle East & North Africa,High income,2001,73.21,2.6,53190.0,3.18838811,6.5858302116394,0.800000011920929,,100.0,47194.38,37550.07,260456.02
Lebanon,LBN,Middle East & North Africa,Lower middle income,2001,74.999,7.8,16890.0,10.56592274,2.84148001670837,8.18599987030029,,9.425466024,96063.15,156407.56,757768.34
Liberia,LBR,Sub-Saharan Africa,Low income,2001,52.236,36.6,450.0,3.49858928,,2.12800002098084,,,127482.95,2142154.71,468017.27
Libya,LBY,Middle East & North Africa,Upper middle income,2001,71.038,,44450.0,4.05162811,,19.6959991455078,,24.63226793,189689.18,224135.65,793357.98
Sri Lanka,LKA,South Asia,Lower middle income,2001,72.233,16.7,10850.0,4.19323874,,7.90000009536743,,,1058850.45,875560.42,3538579.57
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,46.197,20.0,400.0,7.27745914,9.36505031585693,34.6349983215332,,9.24941769,129978.0,1373764.09,360118.16
Lithuania,LTU,Europe & Central Asia,High income,2001,71.65853658536585,2.5,11150.0,6.01339579,5.84758996963501,16.8400001525879,,79.99395432,281788.15,65951.41,1045815.65
Luxembourg,LUX,Europe & Central Asia,High income,2001,77.82439024390246,2.5,9120.0,6.410923,3.53973007202148,1.80999994277954,,90.92752336,12963.49,5467.01,107770.41
Latvia,LVA,Europe & Central Asia,High income,2001,70.7609756097561,4.6,7360.0,5.7776227,5.44695997238159,13.8199996948242,,52.41175179,193981.23,54542.91,828550.73
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,69.193,6.3,36270.0,4.12981606,,12.460000038147,,32.48839106,1368871.31,3697986.83,5558595.24
Monaco,MCO,Europe & Central Asia,High income,2001,,,,1.76396823,,,,100.0,894.05,503.5,11108.28
Moldova,MDA,Europe & Central Asia,Upper middle income,2001,67.185,,7020.0,6.23449707,4.84684991836548,7.28999996185303,,,232794.87,159857.91,1255903.82
Madagascar,MDG,Sub-Saharan Africa,Low income,2001,59.129,33.8,1670.0,4.75725555,2.707200050354,5.34999990463257,,3.831344237,470651.04,7463686.06,2701577.95
Maldives,MDV,South Asia,Upper middle income,2001,70.964,,480.0,8.21364975,,2.99699997901917,,,6566.36,22520.53,41713.97
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,74.658,3.3,378830.0,4.8203578,4.24104022979736,2.63000011444092,,17.96506537,3591742.93,5739024.98,16682733.14
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,,,110.0,16.35200119,,,,,2622.02,6231.2,11006.56
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2001,73.43658536585367,7.5,8920.0,8.3815918,,30.5200004577637,,12.89709303,75058.95,47316.94,575029.88
Mali,MLI,Sub-Saharan Africa,Low income,2001,48.758,16.2,1610.0,4.51951408,2.65844988822937,6.30299997329712,,6.76331851,636033.28,10054240.09,2017488.66
Malta,MLT,Middle East & North Africa,High income,2001,78.84390243902439,2.5,2490.0,6.99985981,,7.1100001335144,,91.86797469,8172.44,5656.81,91973.09
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,60.377,37.6,8350.0,2.14881921,,0.674000024795532,,58.92317706,2642483.37,13438452.76,11950793.29
Montenegro,MNE,Europe & Central Asia,Upper middle income,2001,73.18751219512195,9.6,1670.0,,,28.7409992218018,,,24946.22,14377.31,162646.59
Mongolia,MNG,East Asia & Pacific,Lower middle income,2001,63.319,31.1,8970.0,4.3172245,,6.21299982070923,,33.71932288,151574.31,311492.22,596024.26
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2001,,,,,,,,,2938.1,2380.25,12206.63
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,49.295,36.5,1410.0,2.95498824,,2.84299993515015,,,727102.3,14740275.43,2789224.28
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2001,60.788,8.3,1400.0,3.57184672,2.10683989524841,9.82800006866455,,,104174.18,952086.34,394271.32
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2001,71.7658536585366,5.7,2570.0,2.96084642,3.11486005783081,9.14000034332275,,,31585.82,43197.63,278067.42
Malawi,MWI,Sub-Saharan Africa,Low income,2001,45.204,23.6,680.0,2.38508582,4.50897979736328,5.83500003814697,,19.43719936,405908.25,10740293.29,1955136.44
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,72.782,2.5,129460.0,2.6753974,7.48446989059448,3.52999997138977,,65.8615045,675010.81,1040202.68,3668019.93
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,51.399,13.5,2460.0,9.53211975,6.88886976242065,20.7959995269775,,,99918.92,901324.95,308421.3
Niger,NER,Sub-Saharan Africa,Low income,2001,50.584,,670.0,4.75814819,2.27981996536255,1.47000002861023,,6.548758476,578147.11,12699015.7,2029328.97
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,46.51,8.9,101950.0,3.18946958,,3.93499994277954,,21.30050319,4401973.88,102340440.0,21881704.97
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,69.934,27.5,3930.0,5.48459768,,7.44999980926514,,,168251.13,372628.6,679353.55
Netherlands,NLD,Europe & Central Asia,High income,2001,78.19024390243904,2.5,167120.0,8.05946636,4.69964981079102,2.11999988555908,,97.44117906,328011.25,241782.63,3924951.1
Norway,NOR,Europe & Central Asia,High income,2001,78.78536585365853,2.5,34720.0,8.02202415,6.83062982559204,3.74000000953674,,58.89494297,126946.72,61441.66,1128969.34
Nepal,NPL,South Asia,Lower middle income,2001,62.945,23.5,3460.0,3.80386233,3.70837998390198,1.74600005149841,,11.35443284,847450.08,6570763.59,3917088.08
Nauru,NRU,East Asia & Pacific,High income,2001,,,80.0,15.50226688,,,,,808.33,1606.13,2878.31
New Zealand,NZL,East Asia & Pacific,High income,2001,78.69268292682928,2.5,31620.0,7.5789361,6.56049013137817,5.42999982833862,,74.93483797,150122.03,43015.81,848323.44
Oman,OMN,Middle East & North Africa,High income,2001,72.58,12.3,28030.0,3.08315206,4.02031993865967,4.125,,,134320.24,87948.26,336892.06
Pakistan,PAK,South Asia,Lower middle income,2001,63.066,21.1,99840.0,2.70667124,,0.564999997615814,,,4281933.12,58084619.18,27319818.25
Panama,PAN,Latin America & Caribbean,High income,2001,75.233,24.5,6220.0,6.8341074,4.10587978363037,3.81699991226196,,,97752.13,154316.58,436296.46
Peru,PER,Latin America & Caribbean,Upper middle income,2001,71.505,21.5,26540.0,4.72161007,3.03712010383606,5.02600002288818,,12.33495746,1024199.73,2402121.42,3770040.66
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,68.835,18.7,70480.0,2.84775901,2.92463994026184,3.70000004768372,,43.52262482,2887545.85,9955777.05,13181817.63
Palau,PLW,East Asia & Pacific,Upper middle income,2001,,,220.0,7.8959136,7.707200050354,,,,1206.23,1314.29,5205.93
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2001,59.487,26.3,3390.0,2.3006382,,2.80399990081787,,,259963.78,1514582.61,1114225.21
Poland,POL,Europe & Central Asia,High income,2001,74.2,2.5,293630.0,5.66721439,5.31902980804443,18.3700008392334,,79.901623,1736920.98,592229.85,10233665.17
Puerto Rico,PRI,Latin America & Caribbean,High income,2001,77.06682926829271,,,,,11.3999996185303,,32.53629579,137923.4,138334.33,863736.54
Portugal,PRT,Europe & Central Asia,High income,2001,76.81463414634149,2.5,61380.0,8.62751484,5.33713006973267,3.82999992370605,,50.83873125,336954.98,237045.28,2897529.91
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,70.786,10.5,3610.0,5.60815763,3.83357000350952,6.21000003814697,,44.94455986,175296.01,358853.73,759227.57
Qatar,QAT,Middle East & North Africa,High income,2001,77.612,,28650.0,2.3197093,3.20019006729126,0.846000015735626,,71.1,28021.47,15181.01,86439.0
Romania,ROU,Europe & Central Asia,High income,2001,71.16097560975611,2.5,95230.0,4.37598133,3.26628994941711,6.55999994277954,,51.9938812,1013547.64,737648.7,6958880.79
Rwanda,RWA,Sub-Saharan Africa,Low income,2001,49.936,38.5,560.0,3.89250112,4.82785987854004,0.842999994754791,,,622884.72,5434698.89,1375113.91
Saudi Arabia,SAU,Middle East & North Africa,High income,2001,72.759,4.9,254090.0,4.46173573,7.71887016296387,4.61999988555908,,37.28527113,1154674.35,982640.87,3255472.18
Sudan,SDN,Sub-Saharan Africa,Low income,2001,58.859,21.5,6250.0,3.36456847,,15.1800003051758,,,1607027.1,9538031.34,6011769.22
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2001,58.177,24.1,4460.0,3.67916536,2.47150993347168,5.60699987411499,,14.2940866,319771.29,4508804.21,1639502.57
Singapore,SGP,East Asia & Pacific,High income,2001,78.25121951219512,,42030.0,3.16302657,3.54249000549316,3.75999999046326,,100.0,84897.01,63745.56,602137.61
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2001,67.816,13.3,250.0,6.60538769,,1.90699994564056,,,30629.39,99375.76,121254.14
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2001,40.369,50.7,440.0,10.97251225,3.43271994590759,3.45700001716614,,9.025286617,215749.14,3974083.31,919964.08
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2001,69.162,7.2,5870.0,8.82467365,,6.96000003814697,,,448029.97,387285.02,950453.19
San Marino,SMR,Europe & Central Asia,High income,2001,,,,5.69305277,,,,70.3715,622.11,330.16,6033.23
Somalia,SOM,Sub-Saharan Africa,Low income,2001,51.213,70.6,510.0,,,19.0380001068115,,16.1518236,578729.05,8492605.39,1721710.68
Serbia,SRB,Europe & Central Asia,Upper middle income,2001,72.23414634146341,3.1,45000.0,6.86061621,,12.8000001907349,,22.40871639,384910.03,202802.18,3046386.32
South Sudan,SSD,Sub-Saharan Africa,Low income,2001,49.592,,530.0,,,12.0679998397827,,,321245.76,4801855.46,1053775.96
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2001,62.017,14.7,50.0,10.83180332,,15.7299995422363,,13.72840075,3361.28,39262.77,24498.78
Suriname,SUR,Latin America & Caribbean,Upper middle income,2001,67.913,11.8,1520.0,4.09541416,,11.9119997024536,,29.70744826,19663.87,52180.64,92625.36
Slovenia,SVN,Europe & Central Asia,High income,2001,75.75853658536586,2.5,15380.0,7.87602425,5.7568302154541,5.67999982833862,,26.72192345,104446.68,27472.9,516992.02
Sweden,SWE,Europe & Central Asia,High income,2001,79.79512195121951,2.5,52500.0,7.90032959,6.61764001846313,4.73000001907349,,93.04732631,234811.5,100823.72,2289027.28
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2001,45.799,10.5,610.0,5.13895321,4.83824014663696,24.8290004730225,,,65303.13,725190.42,180150.72
Seychelles,SYC,Sub-Saharan Africa,High income,2001,73.25365853658538,,320.0,5.39628124,,,,,2617.97,3907.56,17382.24
Chad,TCD,Sub-Saharan Africa,Low income,2001,47.789,38.8,340.0,5.29329205,2.42614006996155,0.810000002384186,,8.625477197,428255.62,7738497.78,1490869.54
Togo,TGO,Sub-Saharan Africa,Low income,2001,53.554,31.3,1180.0,2.88543582,3.76704001426697,4.01900005340576,,5.71613038,190442.49,2816445.41,765884.83
Thailand,THA,East Asia & Pacific,Upper middle income,2001,70.832,17.3,173160.0,3.02623773,4.81787014007568,2.59999990463257,,20.05491674,3853836.67,4314043.74,11879825.13
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2001,62.807,,2150.0,4.57802582,2.37659001350403,14.7729997634888,,,250407.96,1135771.66,1064910.53
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2001,63.842,6.8,39120.0,8.14875412,,10.6750001907349,,,168597.21,535314.51,850293.42
Tonga,TON,East Asia & Pacific,Upper middle income,2001,69.725,,90.0,3.54290938,4.47756004333496,4.33699989318848,,33.24307437,2333.31,6968.64,18837.48
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2001,69.65,10.0,11620.0,4.0346489,3.06528997421265,10.8800001144409,,,48363.16,79780.48,299839.38
Tunisia,TUN,Middle East & North Africa,Lower middle income,2001,73.415,4.4,21570.0,5.09929466,6.20184993743896,14.3999996185303,,55.13118286,334001.48,452896.66,1755917.59
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2001,,,10.0,19.18874931,,,,4.741816934,442.4,977.15,2804.71
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2001,51.444,33.1,3130.0,4.2355175,,2.99000000953674,,5.915949964,1057619.26,23531447.73,5500812.39
Uganda,UGA,Sub-Saharan Africa,Low income,2001,47.22,,1300.0,5.03950405,,3.2739999294281,,,912793.79,20173728.72,3704969.74
Ukraine,UKR,Europe & Central Asia,Lower middle income,2001,67.83707317073171,3.0,300550.0,5.72534418,4.52568006515503,11.0600004196167,,42.36141509,3794205.08,1475901.04,18914355.11
Uruguay,URY,Latin America & Caribbean,High income,2001,74.939,3.6,4950.0,9.79864407,2.80096006393433,15.0500001907349,,,132065.56,98023.06,813401.72
United States,USA,North America,High income,2001,76.83658536585367,2.5,5748260.0,13.16362572,,4.73000001907349,,97.57210272,9309465.84,5130329.57,75084511.16
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2001,67.374,17.9,125700.0,5.54972124,,11.2049999237061,,,1069725.16,2865791.81,5317644.42
Vietnam,VNM,East Asia & Pacific,Lower middle income,2001,73.228,19.7,56720.0,4.51130724,,2.75999999046326,,,2704748.48,5466480.61,12763734.45
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2001,67.583,7.5,90.0,3.39338827,8.95114994049072,1.875,,,9316.87,27165.72,40980.94
Samoa,WSM,East Asia & Pacific,Lower middle income,2001,69.103,3.5,160.0,3.93347454,3.82628989219666,4.96000003814697,,47.81901745,6181.01,9353.72,35417.63
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,55.089,3.9,320540.0,7.93901682,4.63617992401123,30.6900005340576,,,4151725.99,19716730.32,9140683.86
